Published On,Vol.,#,Month,Year,Section,Kicker,Title,Author(s)
Aydınlık Sosyalist Dergi,,1,November,1968,,Aydınlık görüşlerini açıklıyor,Dünya Türkiye ve Devrimci Mücadele,Aydınlık Dergisi Kurucuları
Aydınlık Sosyalist Dergi,,1,November,1968,Aydınlık'ta dünya ve Türkiye,,Ortadoğu ve El Fetih,
Aydınlık Sosyalist Dergi,,3,January,1969,Aydınlık'ta dünya ve Türkiye,,Ortadoğu'da,
Aydınlık Sosyalist Dergi,,3,January,1969,,,Filistin Araplarının Millî Kurtuluş Savaşı,Erdoğan Güçbilmez
Aydınlık Sosyalist Dergi,,4,February,1969,Aydınlık'ta dünya ve Türkiye,,Arap Halklarının Millî-demokratik Devrimi Artık Yeni ve Güçlü bir Aşamaya Girmiştir,
Aydınlık Sosyalist Dergi,,4,February,1969,Aydınlık'ta dünya ve Türkiye,,Beyrut Baskını ve Sonrası,
Aydınlık Sosyalist Dergi,,4,February,1969,Aydınlık'ta dünya ve Türkiye,,Fransa İsrail'e Askeri Yardımı Kesti,
Aydınlık Sosyalist Dergi,,4,February,1969,Aydınlık'ta dünya ve Türkiye,,Soviet Barış Planı,
Aydınlık Sosyalist Dergi,,6,April,1969,Aydınlık'ta dünya ve Türkiye,,Yaklaşan Zirve,
Aydınlık Sosyalist Dergi,,17,March,1970,Aydınlık'ta dünya ve Türkiye,,El Fetihe Katılan Gençlerin Bildirisi,Teoman Ermete; Ercan Enç; Hüseyin İnan; Atillâ Keskin; Kadir Manga; Müfit Özdeş; Alpaslan Özdoğru; Tuncer Sümer; Hamit Yakup; Ali Tenk; B. (Bahtiyar) Emanet
Aydınlık Sosyalist Dergi,,19,May,1970,,,Orta Doğuda Fedayi Harekatı ve FiIistin Demokratik Halk Kurtuluş Cephesi,A. Kerim
Aydınlık Sosyalist Dergi,,21,July,1970,Aydınlık'ta dünya ve Türkiye,Ortadoğu'da,Ürdün,
Aydınlık Sosyalist Dergi,,23,September,1970,Aydınlık'ta dünya ve Türkiye,Orta Doğu,Yürütülen Pazarlıklar,
Aydınlık Sosyalist Dergi,,24,October,1970,Aydınlık'ta dünya ve Türkiye,,Yaşasın Filistin ve Bütün Orta-Doğu Halklarının Devrimci Savaşı,
